bajau_name,common_name.x,common_name.y,family,species,photo_ID,status
keapu kuali,Grouper,grouper,Serranidae,Cephalopholis polleni,9171,Nov bright moon/Ubi
keapu loong,Grouper,grouper,Serranidae,Cephalopholis argus,8646,Sept bright moon/Unyil - they also use this name for cephalopholis argus (below)
keapu loong ngaluhu,Grouper,grouper,Serranidae,Epinephelus ongus,8564,Sept bright moon/Arenong
keapu malang,Grouper,grouper,Serranidae,Epinephelus spp.,5981,March dark moon/Amis
keapu merah campura,Grouper,grouper,Serranidae,Cephalopholis miniata,5727,Feb bright moon/Hartono
keapu mira,Grouper,Strawberry grouper,Serranidae,Cephalopholis spiloparaea,2339,
keapu mira bitti,Grouper,grouper,Serranidae,Cephalopholis miniata,5238,Jan bright moon/Iming
keapu mira sibbo,Grouper,grouper,Serranidae,Epinephelus fasciatus,9211,Nov bright moon/Arenong
keapu ngaluhu,Grouper,Grouper,Serranidae,Epinephelus spp.,8737,Oct dark moon/Kandar
keapu nyarengelah,Grouper,grouper,Serranidae,Epinephelus spp.,5239,Jan bright moon/Iming
keapu nyarengkeh,Grouper,grouper,Serranidae,Epinephelus spp.,0,
keapu poppokah,Grouper,Grouper,Serranidae,Epinephelus spp.,8844,Oct bright moon/May
keapu pote,Grouper,grouper,Serranidae,Epinephelus undulosus,6412,April dark moon/Arenong
keapu sabit,Grouper,NA,NA,NA,NA,
keapu setan,Grouper,Redmouth grouper,Serranidae,Aethaloperca rogaa,8757,Oct dark moon/Laheni
keapu sibbo,Grouper,Honeycomb rock cod,Serranidae,Epinephelus merra,8554,Sept bright moon/Alwin
keapu sibbo mirah,Grouper,Blacktip grouper,Serranidae,Epinephelus fasciatus,8528,Sept bright moon/Acong
keapu tallah,Grouper,grouper,Serranidae,Anyperodon leucogrammicus,8764,Oct dark moon/Arenong
keapu tiger,Grouper,grouper,Serranidae,Epinephelus polyphekadion,8763,Oct dark moon/Arenong
keapu tongko,Grouper,grouper,Serranidae,Epinephelus spp.,8542,Sept bright moon/Mustamin
kekea,rabbitfish,rabbitfish,Siganidae,Siganus spp.,2319,Sept bright moon/Unyil.pdf; photoID 8642
kekea kuneh,foxface rabbitfish,rabbitfish,Siganidar,Siganus vulpinus,6355,April dark moon/Sair
kekea langkau boa,foxface rabbitfish,rabbitfish,Siganidae,Siganus vulpinus,7296,June bright moon/Agus
keyba,NA,NA,NA,NA,NA,
kokoreh,Crescent grunter,grunter,Terapontidae,Terapon spp.,5758,Feb bright moon/Mardi
kongkeh,porcupinefish,porcupinefish,Diodontidae,Diodon liturosus,6285,March bright moon/Lilli
kumai,unicornfish,Unicornfish,Acanthuridae,Naso unicornis,9141,Nov dark moon/Bagon
kumai batu,unicornfish,Unicornfish,Acanthuridae,Naso spp.,9107,Nov dark moon/Siddeng
kumai sillah,unicornfish,Unicornfish,Acanthuridae,Naso vlamingii,6469,April dark moon/Dahlan
kumai tapesu,unicornfish,Unicornfish,Acanthuridae,Naso unicornis,6154,March bright moon/Dahalang
kumai tarusan,unicornfish,Unicornfish,Acanthuridae,Naso spp.,6036,March dark moon/Siddeng
kumai ungko kuneh,unicornfish,Unicornfish,Acanthuridae,Naso lituratus,9009,Nov dark moon/Arsan
kumai ungko mira,unicornfish,Unicornfish,Acanthuridae,Naso lituratus,9374,Dec dark moon/Dahalang
kumbah buaya,crocodile flathead,flathead,Platycephalidae,NA,4814,no need - Jan dark moon/Mardi
kurus bali,NA,NA,NA,NA,NA,
kutamba,emperor,Ornate emperor,Lethrinidae,Lethrinus ornatus,2307,Sept bright moon/Parjono; photoID 8536
kutamba bannah,emperor,emperor,Lethrinidae,Lethrinus erythropterus,8645,Sept bright moon/Unyil
kutamba mantirus,emperor,emperor,Lethrinidae,Lethrinus nebulosus,7148,June dark moon/Mardi
kutamba sumpa,emperor,emperor,Lethrinidae,Lethrinus spp.,0,
kutu,Yellowlip emperor,emperor,Lethrinidae,Lethrinus xanthochilus,6478,April dark moon/Dahlan
lambe,squirrelfish,squirrelfish,Holocentridae,Sargocentron spp.,2313,"photoID - 8639 was identified as lambe, but it is a soldierfish; Sep bright moon/Sisun photoID - 8581; confirmed also use this name for soldierfish in Sept bright moon/Alwin"
lampa,Tripletail wrasse,Tripletail wrasse,Labridae,Cheilinus trilobatus,8745,Oct dark moon/Laheni
lampa dosa,Tripletail wrasse,Tripletail wrasse,Labridae,Cheilinus fasciatus,8521,Sept bright moon/Acong
lampa loong,wrasse,wrasse,Labridae,Epibulus insidiator,8703,Oct dark moon/Udin
lampa mira,Tripletail wrasse,Banded wrasse,Labridae,Cheilinus fasciatus,8665,Sept bright moon/Asiri
lampa pello,Tripletail wrasse,wrasse,Labridae,Cheilinus trilobatus,6649,April bright moon/Ganing
lampa sirah mira,Tripletail wrasse,wrasse,Labridae,Cheilinus fasciatus,9083,Nov dark moon/Dahlan
lampa ungko mira,Tripletail wrasse,wrasse,Labridae,Cheilinus fasciatus,0,
lamudo,Longspine emporer,NA,NA,NA,NA,
langkoe,Napolean wrasse,wrasse,Labridae,Cheilinus undulatus,5307,Feb dark moon/Heri
langoang,bluefin trevally,trevally,Carangidae,Caranx melampygus,8765,Oct dark moon/Parjono
lansura,snapper,snapper,Lutjanidae,Lutjanus carponotatus,8731,Oct dark moon/Sair
lausu,emperor,emperor,Lethrinidae,Lethrinus xanthochilus,8566,Sept bright moon/Arenong
lausu kutu,Longface emporer,emperor,Lethrinidae,Lethrinus xanthochilus,5953,March dark moon/Siddeng-1
lausu langkau boa,Longface emporer,empera,Lethrinidae,Lethrinus olivaceus,6477,April dark moon/Dahlan
lausu tubbal boa,Longface emporer,emperor,Lethrinidae,Lethrinus olivaceus,6450,"April dark moon/Dahlan - this fish was ID as L. xan., but they tend to use names for L. xan. And L. oli interchangeably"
leppe kuneh boa,NA,NA,NA,NA,NA,
luppe,sweetlip,sweetlip,Haemulidae,Plectorhinchus spp.,8864,Oct bright moon/Mbili
luppe bitikan,Striped sweetlips,sweetlip,Haemulidae,Plectorhinchus spp.,8849,Oct bright moon/May
luppe bitti,Striped sweetlips,sweetlip,Haemulidae,Plectorhinchus spp.,8601,Sept bright moon/Aco
