bajau_name,common_name.x,family,species,photo_ID,fg,habitat,included,status
timbungang,manybar goatfish,Mullidae,Parupeneus multifasciatus,2309,Macro-invertivore,Reef,1,
tintah,Threeline monocle bream,Nemipteridae,Scolopsis spp.,8527,Micro-invertivore,Reef,1,Sept bright moon/Acong
tintah tarusan,Threeline monocle bream,Nemipteridae,Scolopsis spp.,6089,Micro-invertivore,Reef,1,March dark moon/Lamini
tittingan,Stripped eel catfish,NA,NA,6645,NA,NA,NA,no need - April bright moon/Ganing
tomiga,NA,NA,NA,NA,NA,NA,NA,
tonggol,Pelagic,NA,NA,NA,NA,NA,NA,
totoke,bream,Lethrinidae,Gnathodentex aureolineatus,9147,Pisci-invertivore,Reef,1,Nov bright moon/Syahrir - not a very good picture
tubbal boa,Harlequin sweetlips,NA,NA,NA,NA,NA,NA,
tuna bambulo,Pelagic,NA,NA,NA,NA,NA,NA,
turisan,sailfin snapper,Lutjanidae,Symphorichthys spilurus,5617,Pisci-invertivore,Reef,1,Feb bright moon/Musair
turisang,sailfin snapper,Lutjanidae,Symphorichthys spilurus,0,Pisci-invertivore,Reef,1,
ulapai,Parrotfish,Scarinae,Scarus spp.,8644,Excavator/scraper,Reef,1,Sept bright moon/Unyil
ulapai coklat,Parrotfish,NA,NA,NA,NA,NA,NA,
ulapai mira,Parrotfish,NA,NA,NA,NA,NA,NA,
ulapai patoh,Parrotfish,NA,NA,NA,NA,NA,NA,
ururuh,Rainbow runner,Carangidae,Elagatis bipinnulatus,7463,Piscivore,Reef,1,July dark moon/Dinar
karoo,squirrelfish,Holocentridae,Neoniphon argenteus,8691,Pisci-invertivore,Nocturnal,0,Oct dark moon/Mbili
mogoh nyuluh,bullethead parrotfish,Scarinae,Chlorurus spp.,2299/8637,Excavator/scraper,Reef,1,
ulapai kunih,Blue-barred parrotfish,Scarinae,Scarus ghobban,2301,Excavator/scraper,Reef,1,
bulawwis biasa,Scribbled rabbitfish,Siganidae,Siganus spinus,2302,Grazer,Reef,1,
tatape pote,Chevroned butterflyfish,Chaetodontidae,Chaetodon trifascialis,2311,Corallivore,Reef,1,
sambelah,Bearded rockling,Ophidiidae,Brotula multibarbata,2312,Macro-invertivore,Reef,1,
pello loong,Rockmover wrasse,Labridae,Novaculichthys taeniourus,2314,Macro-invertivore,Reef,1,
pello mogoh,Cheek-lined wrasse,Labridae,Oxycheilinus diagrammus,2315,Pisci-invertivore,Reef,1,
beseh pangka,Cardinalfish,Apogonidae,Apogon spp.,2324,Planktivore,Reef,1,
banguntu janggutang,NA,,,,NA,NA,NA,
mogoh sirah,Striped large-eye bream ,Lethrinidae,Gnathodentex aureolineatus,2355,Pisci-invertivore,Reef,1,
keapu mira campur,Coral grouper,Serranidae,Cephalopholis miniata,2336,Pisci-invertivore,Reef,1,
kambule nyuluh,Large-eye bream,Caesionidae,Caesio caerulaureus,2334,Planktivore,Reef,1,
tintah sirah,Blue and yellow fusilier,Caesionidae,Caesio teres,2335,Planktivore,Reef,1,
keapu cambah,Fusilier,Serranidae,Plectropomus oligacanthus,2330,Piscivore,Reef,1,
bambangan,NA,Lethrinidae,Monotaxis grandoculis,2362,Macro-invertivore,Reef,1,
lompa,NA,,,2365,NA,NA,NA,
dayah sangai,Striped large-eye bream ,Lutjanidae,Lutjanus rivulatus,2368,Pisci-invertivore,Reef,1,
mogoh kadanga,Striped large-eye bream ,Scarinae,Scarus prasiognathos,2370,Excavator/scraper,Reef,1,
mogoh bitti loong,Coral grouper,Scarinae,Cetoscarus bicolor,2398,Excavator/scraper,Reef,1,
ingko kunih kambule,Large-eye bream,Caesionidae,Caesio cuning,2389,Planktivore,Reef,1,
kekea kunih,Masked rabbitfish,Siganidae,Siganus vulpinus,2396,Grazer,Reef,1,
birrah kunih,Rabbitfish,Siganidae,Siganus puellus,2395,Grazer,Reef,1,
tutuhe,NA,,,2403,NA,NA,NA,
keapu ngantillo,grouper,Serranidae,Epinephelus spp.,2416,Piscivore,Reef,1,
bitti gaseh,NA,,,2439,NA,NA,NA,
kalampeda,sole,Soleidae,Synaptura marginata,2444,NA,NA,0,
babalaki,Mackerel,Scombridae,Grammatorcynus bilineatus,2433,NA,Pelagic,0,
gagadih,NA,,,2432,NA,NA,NA,
taburruh,Yellow boxfish,Ostraciidae,Ostracion cubicus,2425,Micro-invertivore,Reef,1,
epe samo,Scrawled filefish,Monacanthidae,Aluterus scriptus,1968,Micro-invertivore,Reef,1,
lausu kunih boa,Emperor,Lethrinidae,Lethrinus xanthochilus,2441,Pisci-invertivore,Reef,1,
keketah,Triple tail,Lobotidae,Lobotus surinamensis,2836,NA,NA,0,
layah,Scad,Carangidae,Selar spp.,2901,NA,NA,0,
pogo rompoh,Triggerfish,Balistidae,Canthidermis maculatus,2899,Macro-invertivore,Reef,1,
dayah nyubba bubuluh,Blue trevally,Carangidae,Carangoides ferdau,2886,Piscivore,Pelagic,0,
keapu bitti,Grouper,Serranidae,Epinephelus spp.,2879,Piscivore,Reef,1,
tata mbang,NA,,,2877,NA,NA,NA,
pello pote,Zigzag wrasse,Labridae,Halichoeres scapularis,2867,Micro-invertivore,Reef,1,
tampae,Dussumier's halfbeak,Hemiramphidae,Hyporhamphus dissimieri,2861,Planktivore,Pelagic,0,
epe tarusang,Scrawled filefish,Monacanthidae,Aluterus scriptus,2859,Micro-invertivore,Reef,1,
tabuh,NA,,,2917,NA,NA,NA,
palu gandah,Cigar wrasse,Labridae,Cheilio inermis,2919,Piscivore,Reef,1,
epe pote,Filefish,Monacanthidae,Monacanthus spp.,2924,Micro-invertivore,Reef,1,
lambe ringnga,Soldierfish,Holocentridae,Plectrypops lima,2894,NA,Nocturnal,0,
turingah,Skipjack tuna,Scombridae,Katsuwonus pelamis,2881,Piscivore,Pelagic,0,
taburruh sumanga,Boxfish,Ostraciidae,Ostracion meleagris,2940,Micro-invertivore,Reef,1,
pello punsu,Parrotfish,Scarinae,Cetoscarus bicolor,2398,Excavator/scraper,Reef,1,
dodoh kunih,Surgeonfish,Acanthuridae,Acanthurus olivaceus,2937,Detritivore,Reef,1,
dodoh tambako,Surgeonfish,Acanthuridae,Zebrasoma veliferum,2935,Grazer,Reef,1,
ddo,Angelfishes,Pomacanthidae,Pomacanthus imperator,2930,Spongivore,Reef,1,
tampelo,Trevally,Carangidae,Caranx spp.,3081,Piscivore,Pelagic,0,
sunu lo ong,Grouper,Serranidae,Plectropomus spp.,3078,Piscivore,Reef,1,
balloa,NA,,,3608,NA,NA,NA,
aha ang loong,Grouper,Serranidae,Plectropomus spp.,3078,Piscivore,Reef,1,
keapu mirrah,Grouper,Serranidae,Gracila albomarginata,3106,Piscivore,Reef,1,
ahaang dapa,Red snapper,Lutjanidae,Lutjanus bohar,3095,Piscivore,Reef,1,
langsura,Black-banded snapper,Lutjanidae,Lutjanus decussatus,3092,Pisci-invertivore,Reef,1,
bangarau,Snapper,Lutjanidae,Lutjanus semicinctus,3089,Pisci-invertivore,Reef,1,
keapu kubah,NA,,Epinephelus undulosus,keapu_kubah,NA,NA,NA,
