bajau_name,common_name.x,family,species,photo_ID,fg,habitat,included,status
dayah nyubba nyuluh,trevally,Carangidae,Caranx spp.,4871,Piscivore,Pelagic,0,Jan dark moon/Musair
dayah tana,Dayah Tana,NA,NA,0,NA,NA,NA,
dodoh,Surgeonfish,Acanthuridae,Acanthurus spp.,8672,Grazer,Reef,1,Sept bright moon/Asiri
dodoh alo,Surgeonfish,Acanthuridae,Acanthurus auranticavus,6670,Grazer,Reef,1,April bright moon/Musair
dodoh batu,Surgeonfish,Acanthuridae,Ctenochaetus spp.,8968,Detritivore,Reef,1,Oct bright moon/Dahalang
dodoh sirah mira,Surgeonfish,Acanthuridae,Acanthurus olivaceus,7669,Detritivore,Reef,1,July bright moon/Mbili
dodoh tambelo,Surgeonfish,Acanthuridae,Acanthurus lineatus,8909,Grazer,Reef,1,Oct bright moon/Gaos2
ekor kuning,Caseio spp,Caesionidae,Caesio cuning,6064,Planktivore,Reef,1,March dark moon/Ardin
epe,scrawled filefish,Monacanthidae,Aluterus scriptus,8534,Micro-invertivore,Reef,1,Sept bright moon/Parjono
epe sammo,Filefish,Monacanthidae,Aluterus scriptus,5986,Micro-invertivore,Reef,1,March dark moon/Parjono
guntor,jobfish,Lutjanidae,Aprion virescens,9120,Piscivore,Reef,1,Nov dark moon/Siddeng
guntur,jobfish,Lutjanidae,Aprion virescens,7487,Piscivore,Reef,1,July dark moon/Imaduding
gurisa,pufferfish,Tetraodontidae,Arothron spp.,6030,Macro-invertivore,Reef,1,March dark moon/Siddeng
ila,Chub,Kyphosidae,Kyphosus spp.,8590,Browser,Reef,1,Sept bright moon/Aco
ingko kunih,Caseio spp,Caesionidae,Caesio cuning,2335,Planktivore,Reef,1,
jarah gigi,Lizardfish,Synodontidae,Synodus spp.,6119,Piscivore,Reef,1,March bright moon/Irwan
kalabutan,NA,NA,NA,NA,NA,NA,NA,
kalempeda,Margined sole,,,5766,NA,NA,NA,no need - Feb bright moon/Judor
kalombe,blue trevally,Carangidae,Caranx spp.,4870,Piscivore,Pelagic,0,Jan dark moon/Musair
kambule,dark-banded fusilier,Caesionidae,Pterocaesio tile,8522,Planktivore,Pelagic,0,Sept bright moon/Acong
karo'o,squirrelfish,Holocentridae,Neoniphon argenteus,8691,Pisci-invertivore,Nocturnal,0,Oct dark moon/Mbili
keapu,Grouper,NA,Epinephelus spp.,NA,Piscivore,Reef,1,
keapu bandoka,Grouper,Serranidae,Cephalopholis argus,9013,Pisci-invertivore,Reef,1,Nov dark moon/Aranong
keapu biasa,Grouper,Serranidae,Epinephelus spilotoceps,9515,Piscivore,Reef,1,Dec bright moon/Aco
keapu bite nyuloh,Grouper,Serranidae,Cephalopholis argus,9307,Pisci-invertivore,Reef,1,Dec dark moon/Isal
keapu bitte loong,Grouper,NA,NA,NA,NA,NA,NA,
keapu bitte mira,Grouper,Serranidae,Cephalopholis miniata,9012,Pisci-invertivore,Reef,1,Nov dark moon/Aranong
keapu bitte tibbo,Grouper,Serranidae,Epinephelus spilotoceps,8599,Piscivore,Reef,1,Sept bright moon/Aco
keapu buntar tikolo,Grouper,Serranidae,Epinephelus spp.,8694,Piscivore,Reef,1,Oct dark moon/La kea
keapu cambal,Grouper,Serranidae,Plectropomus oligacanthus,6281,Piscivore,Reef,1,March bright moon/Hartono
keapu campur,Grouper,Serranidae,Cephalopholis argus,6212,Pisci-invertivore,Reef,1,March bright moon/Siddeng
keapu campuran ngeluhu,Grouper,NA,NA,NA,NA,NA,NA,
keapu coklat,Grouper,Serranidae,Cephalopholis spp.,6235,Pisci-invertivore,Reef,1,March bright moon/Ita
keapu garas,Grouper,Serranidae,Epinephelus merra,6219,Piscivore,Reef,1,March bright moon/Siddeng
keapu goas,Grouper,NA,NA,NA,NA,NA,NA,
keapu kuali,Grouper,Serranidae,Cephalopholis polleni,9171,Pisci-invertivore,Reef,1,Nov bright moon/Ubi
keapu loong,Grouper,Serranidae,Cephalopholis argus,8646,Pisci-invertivore,Reef,1,Sept bright moon/Unyil - they also use this name for cephalopholis argus (below)
keapu loong ngaluhu,Grouper,Serranidae,Epinephelus ongus,8564,Piscivore,Reef,1,Sept bright moon/Arenong
keapu malang,Grouper,Serranidae,Epinephelus spp.,5981,Piscivore,Reef,1,March dark moon/Amis
keapu merah campura,Grouper,Serranidae,Cephalopholis miniata,5727,Pisci-invertivore,Reef,1,Feb bright moon/Hartono
keapu mira,Grouper,Serranidae,Cephalopholis spiloparaea,2339,Pisci-invertivore,Reef,1,
keapu mira bitti,Grouper,Serranidae,Cephalopholis miniata,5238,Pisci-invertivore,Reef,1,Jan bright moon/Iming
keapu mira sibbo,Grouper,Serranidae,Epinephelus fasciatus,9211,Piscivore,Reef,1,Nov bright moon/Arenong
keapu ngaluhu,Grouper,Serranidae,Epinephelus spp.,8737,Piscivore,Reef,1,Oct dark moon/Kandar
keapu nyarengelah,Grouper,Serranidae,Epinephelus spp.,5239,Piscivore,Reef,1,Jan bright moon/Iming
keapu nyarengkeh,Grouper,Serranidae,Epinephelus spp.,0,Piscivore,Reef,1,
keapu poppokah,Grouper,Serranidae,Epinephelus spp.,8844,Piscivore,Reef,1,Oct bright moon/May
keapu pote,Grouper,Serranidae,Epinephelus undulosus,6412,Piscivore,Reef,1,April dark moon/Arenong
keapu sabit,Grouper,NA,NA,NA,NA,NA,NA,
keapu setan,Grouper,Serranidae,Aethaloperca rogaa,8757,Piscivore,Reef,1,Oct dark moon/Laheni
keapu sibbo,Grouper,Serranidae,Epinephelus merra,8554,Piscivore,Reef,1,Sept bright moon/Alwin
keapu sibbo mirah,Grouper,Serranidae,Epinephelus fasciatus,8528,Piscivore,Reef,1,Sept bright moon/Acong
keapu tallah,Grouper,Serranidae,Anyperodon leucogrammicus,8764,Piscivore,Reef,1,Oct dark moon/Arenong
keapu tiger,Grouper,Serranidae,Epinephelus polyphekadion,8763,Piscivore,Reef,1,Oct dark moon/Arenong
keapu tongko,Grouper,Serranidae,Epinephelus spp.,8542,Piscivore,Reef,1,Sept bright moon/Mustamin
kekea,rabbitfish,Siganidae,Siganus spp.,2319,Grazer,Reef,1,Sept bright moon/Unyil.pdf; photoID 8642
kekea kuneh,foxface rabbitfish,Siganidae,Siganus vulpinus,6355,Grazer,Reef,1,April dark moon/Sair
kekea langkau boa,foxface rabbitfish,Siganidae,Siganus vulpinus,7296,Grazer,Reef,1,June bright moon/Agus
keyba,NA,NA,NA,NA,NA,NA,NA,
kokoreh,Crescent grunter,Terapontidae,Terapon spp.,5758,NA,NA,0,Feb bright moon/Mardi
kongkeh,porcupinefish,Diodontidae,Diodon liturosus,6285,Macro-invertivore,Reef,1,March bright moon/Lilli
kumai,unicornfish,Acanthuridae,Naso unicornis,9141,Browser,Reef,1,Nov dark moon/Bagon
kumai batu,unicornfish,Acanthuridae,Naso spp.,9107,Planktivore,Reef,1,Nov dark moon/Siddeng
kumai sillah,unicornfish,Acanthuridae,Naso vlamingii,6469,Planktivore,Reef,1,April dark moon/Dahlan
kumai tapesu,unicornfish,Acanthuridae,Naso unicornis,6154,Browser,Reef,1,March bright moon/Dahalang
kumai tarusan,unicornfish,Acanthuridae,Naso spp.,6036,Planktivore,Reef,1,March dark moon/Siddeng
kumai ungko kuneh,unicornfish,Acanthuridae,Naso lituratus,9009,Browser,Reef,1,Nov dark moon/Arsan
kumai ungko mira,unicornfish,Acanthuridae,Naso lituratus,9374,Browser,Reef,1,Dec dark moon/Dahalang
kumbah buaya,crocodile flathead,Platycephalidae,NA,4814,NA,NA,0,no need - Jan dark moon/Mardi
kurus bali,NA,NA,NA,NA,NA,NA,NA,
kutamba,emperor,Lethrinidae,Lethrinus ornatus,2307,Pisci-invertivore,Reef,1,Sept bright moon/Parjono; photoID 8536
kutamba bannah,emperor,Lethrinidae,Lethrinus erythropterus,8645,Pisci-invertivore,Reef,1,Sept bright moon/Unyil
kutamba mantirus,emperor,Lethrinidae,Lethrinus nebulosus,7148,Pisci-invertivore,Reef,1,June dark moon/Mardi
kutamba sumpa,emperor,Lethrinidae,Lethrinus spp.,0,Pisci-invertivore,Reef,1,
kutu,Yellowlip emperor,Lethrinidae,Lethrinus xanthochilus,6478,Pisci-invertivore,Reef,1,April dark moon/Dahlan
lambe,squirrelfish,Holocentridae,Sargocentron spp.,2313,Pisci-invertivore,Nocturnal,0,"photoID - 8639 was identified as lambe, but it is a soldierfish; Sep bright moon/Sisun photoID - 8581; confirmed also use this name for soldierfish in Sept bright moon/Alwin"
lampa,Tripletail wrasse,Labridae,Cheilinus trilobatus,8745,Macro-invertivore,Reef,1,Oct dark moon/Laheni
lampa dosa,Tripletail wrasse,Labridae,Cheilinus fasciatus,8521,Macro-invertivore,Reef,1,Sept bright moon/Acong
lampa loong,wrasse,Labridae,Epibulus insidiator,8703,Pisci-invertivore,Reef,1,Oct dark moon/Udin
lampa mira,Tripletail wrasse,Labridae,Cheilinus fasciatus,8665,Macro-invertivore,Reef,1,Sept bright moon/Asiri
lampa pello,Tripletail wrasse,Labridae,Cheilinus trilobatus,6649,Macro-invertivore,Reef,1,April bright moon/Ganing
lampa sirah mira,Tripletail wrasse,Labridae,Cheilinus fasciatus,9083,Macro-invertivore,Reef,1,Nov dark moon/Dahlan
lampa ungko mira,Tripletail wrasse,Labridae,Cheilinus fasciatus,0,Macro-invertivore,Reef,1,
lamudo,Longspine emporer,NA,NA,NA,NA,NA,NA,
langkoe,Napolean wrasse,Labridae,Cheilinus undulatus,5307,Macro-invertivore,Reef,1,Feb dark moon/Heri
langoang,bluefin trevally,Carangidae,Caranx melampygus,8765,Piscivore,Pelagic,0,Oct dark moon/Parjono
lansura,snapper,Lutjanidae,Lutjanus carponotatus,8731,Pisci-invertivore,Reef,1,Oct dark moon/Sair
lausu,emperor,Lethrinidae,Lethrinus xanthochilus,8566,Pisci-invertivore,Reef,1,Sept bright moon/Arenong
lausu kutu,Longface emporer,Lethrinidae,Lethrinus xanthochilus,5953,Pisci-invertivore,Reef,1,March dark moon/Siddeng-1
lausu langkau boa,Longface emporer,Lethrinidae,Lethrinus olivaceus,6477,Pisci-invertivore,Reef,1,April dark moon/Dahlan
lausu tubbal boa,Longface emporer,Lethrinidae,Lethrinus olivaceus,6450,Pisci-invertivore,Reef,1,"April dark moon/Dahlan - this fish was ID as L. xan., but they tend to use names for L. xan. And L. oli interchangeably"
leppe kuneh boa,NA,NA,NA,NA,NA,NA,NA,
luppe,sweetlip,Haemulidae,Plectorhinchus spp.,8864,Micro-invertivore,Reef,1,Oct bright moon/Mbili
luppe bitikan,Striped sweetlips,Haemulidae,Plectorhinchus spp.,8849,Micro-invertivore,Reef,1,Oct bright moon/May
luppe bitti,Striped sweetlips,Haemulidae,Plectorhinchus spp.,8601,Micro-invertivore,Reef,1,Sept bright moon/Aco
luppe hias,Striped sweetlips,Haemulidae,Plectorhinchus spp.,8681,Micro-invertivore,Reef,1,Oct dark moon/Ganing
luppe kunih,Striped sweetlips,Haemulidae,Plectorhinchus spp.,8756,Micro-invertivore,Reef,1,Oct dark moon/Laheni
luppe sirah,Striped sweetlips,Haemulidae,Plectorhinchus vittatus,2306,Micro-invertivore,Reef,1,
luppe tubbal boa,Striped sweetlips,Haemulidae,Plectorhinchus chaetodonoides,5616,Micro-invertivore,Reef,1,Feb bright moon/Musair
malelah,surgeonfish,Acanthuridae,Acanthurus mata,9110,Planktivore,Reef,1,Nov dark moon/Siddeng
mangali,NA,NA,NA,NA,NA,NA,NA,
mangilala,rabbitfish,Siganidae,Siganus punctatus,8587,Grazer,Reef,1,Sept bright moon/Lili
mangilala kuneh,rabbitfish,Siganidae,Siganus spp.,8611,Grazer,Reef,1,Sept bright moon/Lili
mogoh,parrotfish,Scarinae,Scarus spp.,0,Excavator/scraper,Reef,1,
mogoh angke,parrotfish,Scarinae,Bolbometopon muricatum,6679,Excavator/scraper,Reef,1,April bright moon/Lahenni
mogoh bataan,parrotfish,Scarinae,Chlorurus spp.,9104,Excavator/scraper,Reef,1,Nov dark moon/Siddeng
mogoh batu,parrotfish,Scarinae,Scarus ghobban,8620,Excavator/scraper,Reef,1,Sept bright moon/Dahalang
mogoh birrah,parrotfish,Scarinae,Cetoscarus bicolor,8612,Excavator/scraper,Reef,1,Sept brigh moon/Lili
mogoh coklat,parrotfish,Scarinae,Chlorurus spp.,8842,Excavator/scraper,Reef,1,Oct bright moon/May
mogoh hangilo,parrotfish,NA,NA,NA,NA,NA,NA,
mogoh hanyulu,parrotfish,Scarinae,Chlorurus spp.,6018,Excavator/scraper,Reef,1,March dark moon/Saiful
mogoh hijau,parrotfish,NA,NA,NA,NA,NA,NA,
mogoh kunih,parrotfish,Scarinae,Scarus ghobban,5653,Excavator/scraper,Reef,1,Feb bright moon/Dahalang
mogoh loong,parrotfish,Scarinae,Scarus niger,8610,Excavator/scraper,Reef,1,Sept brigh moon/Lili
mogoh mira,parrotfish,NA,NA,NA,NA,NA,NA,
mogoh mondo,parrotfish,Scarinae,Calotomus carolinus,8705,Browser,Reef,1,Oct dark moon/Udin
mogoh mondo bitte,parrotfish,Scarinae,Calotomus carolinus,6483,Browser,Reef,1,April dark moon/Dahlan
mogoh nyulloh,parrotfish,Scarinae,Chlorurus spp.,8556,Excavator/scraper,Reef,1,Sept bright moon/Alwin
mogoh pote,parrotfish,Scarinae,Scarus spp.,2837,Excavator/scraper,Reef,1,
mogoh sirah pote,parrotfish,Scarinae,Scarus dimidiatus,8557,Excavator/scraper,Reef,1,Sept bright moon/Alwin
opa,NA,NA,NA,NA,NA,NA,NA,
palugandah,wrasse,Labridae,Cheilo inermis,8779,Piscivore,Reef,1,Oct dark moon/Parjono
pangaluang,Great barracuda,Sphyraenidae,Sphyraena spp.,6453,Piscivore,Pelagic,0,April dark moon/Dahlan
papalo,Barracuda,Sphyraenidae,Sphyraena spp.,8930,Piscivore,Pelagic,0,Oct bright moon/Alwin
pello,wrasse,Labridae,Halichoeres hortulanus,7181,Micro-invertivore,Reef,1,June dark moon/Irwan
pello gusoh,wrasse,NA,NA,NA,NA,NA,NA,
pello koncang,wrasse,Labridae,Hemigymnus melapterus,4896,Macro-invertivore,Reef,1,Jan dark moon/Musair
pello lampa,wrasse,Labridae,Oxycheilinus diagrammus,8725,Pisci-invertivore,Reef,1,Oct dark moon/Sair
pello langkau boa,wrasse,Labridae,Epibulus insidiator,6381,Pisci-invertivore,Reef,1,April dark moon/Acong
pello mira,wrasse,NA,NA,NA,NA,NA,NA,
pello nyuluh,wrasse,NA,NA,NA,NA,NA,NA,
pello pungsu,wrasse,Labridae,Hemigymnus melapterus,8667,Macro-invertivore,Reef,1,Sept bright moon/Asiri; tough to read the name on the hard copy
pello sirah,wrasse,Labridae,Coris gaimard,6193,Macro-invertivore,Reef,1,March bright moon/Siddeng
pello sirah pote,wrasse,Labridae,Hemigymnus melapterus,6430,Macro-invertivore,Reef,1,April dark moon/Lahenni
pello sirip kunih,wrasse,Labridae,Coris gaimard,6748,Macro-invertivore,Reef,1,April bright moon/Dahalang
pepedo,NA,NA,NA,NA,NA,NA,NA,
pesari,NA,NA,NA,NA,NA,NA,NA,
pilangan,Halfbeak,Hemiramphidae,NA,7485,Planktivore,Pelagic,0,July dark moon/Imaduding
pilangang,Halfbeak,Hemiramphidae,NA,7485,Planktivore,Pelagic,0,July dark moon/Imaduding
pipili,Trevally,Carangidae,Caranx spp.,8966,Piscivore,Pelagic,0,Oct bright moon/Dahalang
pogo,Triggerfish,Balistidae,Balistapus undulatus,4849,Macro-invertivore,Reef,1,Jan dark moon/Saiful
pogo epe,Triggerfish,NA,NA,NA,NA,NA,NA,
pogo hitam,Triggerfish,Balistidae,Balistapus undulatus,5991,Macro-invertivore,Reef,1,March dark moon/Parjono
pogo karupu,Triggerfish,Balistidae,Melichthys niger,9010,Planktivore,Reef,1,Nov dark moon/Arsan
pogo loong,Triggerfish,Balistidae,Melichthys niger,7541,Planktivore,Reef,1,July dark moon/Siddeng2
pogo mayor,Triggerfish,NA,NA,NA,NA,NA,NA,
pogo mira,Triggerfish,Balistidae,Balistapus undulatus,8916,Macro-invertivore,Reef,1,Oct bright moon/Gaos2
pogo ngisirah,Triggerfish,NA,NA,NA,NA,NA,NA,
pogo pote,Triggerfish,Balistidae,Rhinecanthus verrucosus,6140,Macro-invertivore,Reef,1,March bright moon/Tallala
pogo punsu,Triggerfish,NA,NA,NA,NA,NA,NA,
pogo sirah,Triggerfish,Balistidae,Balistapus undulatus,5944,Macro-invertivore,Reef,1,March dark moon/Babo
pogo tarusan,Triggerfish,Balistidae,Odonus niger,7180,Planktivore,Reef,1,June dark moon/Irwan
popogo,Triggerfish,NA,NA,NA,NA,NA,NA,
pote,NA,NA,NA,7339,NA,NA,NA,no need - July dark moon/Arsan
rambeng,Neon fusilier,Caesionidae,Caesio lunaris,9324,Planktivore,Reef,1,Dec dark moon/Juro
rambeng ungko kuneh,Neon fusilier,Caesionidae,Caesio lunaris,0,Planktivore,Reef,1,
ruruma,Rainbow fusilier,Scombridae,Rastrelliger kanagurta,7159,Planktivore,Pelagic,0,June dark moon/Irwan
sampeh lea,snapper,Lutjanidae,Lutjanus spp.,9144,Pisci-invertivore,Reef,1,Nov bright moon/Syahrir
sasageh,Striped large-eye bream,Lethrinidae,Gnathodentex aureolineatus,8761,Pisci-invertivore,Reef,1,Oct dark moon/Bagon
